ε,Итерации,f_calls,grad_calls,f(x*),Сошлось?
1e-01,148,1127,1127,2.97e-03,✓
1e-02,254,1931,1931,2.58e-05,✓
1e-03,357,2712,2712,2.55e-07,✓
1e-04,458,3478,3478,2.76e-09,✓
1e-05,564,4282,4282,2.39e-11,✓
1e-06,665,5048,5048,2.59e-13,✓
1e-07,766,5814,5814,2.80e-15,✓
1e-08,869,6595,6595,2.77e-17,✓
