ε,Итерации,f_calls,grad_calls,f(x*),Сошлось?
1e-01,1,1,2,3.94e-31,✓
1e-02,1,1,2,3.94e-31,✓
1e-03,1,1,2,3.94e-31,✓
1e-04,1,1,2,3.94e-31,✓
1e-05,1,1,2,3.94e-31,✓
1e-06,1,1,2,3.94e-31,✓
1e-07,1,1,2,3.94e-31,✓
1e-08,1,1,2,3.94e-31,✓
