Шаг α,Итерации,f(x*),Сошлось?
0.0010,10067,2.50e-17,✓
0.0100,998,2.46e-17,✓
0.0500,192,2.15e-17,✓
0.1000,91,1.84e-17,✓
0.2000,40,1.43e-17,✓
0.5000,1,0.00e+00,✓
0.9000,91,1.84e-17,✓
0.9900,998,2.46e-17,✓
