ε,Итерации,f_calls,grad_calls,f(x*),Сошлось?
1e-01,3,1,4,1.85e-04,✓
1e-02,5,1,6,1.74e-08,✓
1e-03,5,1,6,1.74e-08,✓
1e-04,7,1,8,1.64e-12,✓
1e-05,7,1,8,1.64e-12,✓
1e-06,9,1,10,1.54e-16,✓
1e-07,9,1,10,1.54e-16,✓
1e-08,11,1,12,1.45e-20,✓
